City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Kapaa,US,22.0752,-159.319,69.78,88,0,6.91,clear sky
Pahrump,US,36.2083,-115.9839,44.65,39,85,2.77,overcast clouds
Kimberley,ZA,-28.7323,24.7623,86.65,13,0,11.65,clear sky
Lichinga,MZ,-13.3128,35.2406,63.45,96,99,2.95,light rain
Gat,IL,31.61,34.7642,54.28,100,18,18.86,few clouds
Namibe,AO,-15.1961,12.1522,76.01,75,25,11.41,scattered clouds
Ushuaia,AR,-54.8,-68.3,56.82,62,75,26.46,broken clouds
Souillac,MU,-20.5167,57.5167,79.18,78,40,5.75,scattered clouds
Ilulissat,GL,69.2167,-51.1,1.42,39,15,0.0,few clouds
Punta Arenas,CL,-53.15,-70.9167,51.91,54,40,43.73,scattered clouds
Fort Nelson,CA,58.8053,-122.7002,-14.06,81,100,4.61,light snow
Sorland,NO,67.667,12.6934,40.86,75,75,23.02,broken clouds
Asyut,EG,27.181,31.1837,68.18,43,1,9.44,clear sky
Busselton,AU,-33.65,115.3333,59.27,88,2,7.63,clear sky
Coquimbo,CL,-29.9533,-71.3436,71.33,56,20,10.36,few clouds
Kavieng,PG,-2.5744,150.7967,81.59,80,100,9.28,light rain
Kirakira,SB,-10.4544,161.9205,79.86,85,97,5.61,overcast clouds
Zuwarah,LY,32.9312,12.082,66.67,57,5,5.79,clear sky
Vaini,TO,-21.2,-175.2,75.36,94,75,3.44,light rain
Thompson,CA,55.7435,-97.8558,-12.84,77,40,8.05,scattered clouds
Barrow,US,71.2906,-156.7887,-9.38,77,0,12.66,clear sky
Cape Town,ZA,-33.9258,18.4232,80.1,39,0,10.36,clear sky
Ahipara,NZ,-35.1667,173.1667,61.05,92,4,5.86,clear sky
Sayansk,RU,54.1088,102.1648,-14.69,97,19,3.15,few clouds
Rikitea,PF,-23.1203,-134.9692,76.86,77,27,11.3,scattered clouds
Ola,RU,59.5833,151.2833,9.95,77,91,8.88,overcast clouds
Mataura,NZ,-46.1927,168.8643,51.24,92,100,0.92,overcast clouds
Kodiak,US,57.79,-152.4072,38.71,87,100,10.36,light rain
Grand-Santi,GF,4.25,-54.3833,78.53,95,83,4.68,broken clouds
Kloulklubed,PW,7.0419,134.2556,73.9,75,100,9.42,overcast clouds
Nanortalik,GL,60.1432,-45.2371,27.84,72,100,11.03,overcast clouds
Selishche,RU,56.8879,33.2691,14.27,97,94,7.47,overcast clouds
Faanui,PF,-16.4833,-151.75,80.35,73,9,11.88,clear sky
Boa Vista,BR,2.8197,-60.6733,84.18,61,75,11.5,broken clouds
Takaka,NZ,-40.85,172.8,62.56,79,15,1.7,few clouds
Pelym,RU,61.0108,61.9978,10.15,90,5,6.31,clear sky
Ribeira Grande,PT,38.5167,-28.7,59.77,58,20,9.22,few clouds
New Norfolk,AU,-42.7826,147.0587,59.72,77,96,2.68,overcast clouds
Tiksi,RU,71.6872,128.8694,-8.14,84,100,13.51,overcast clouds
Machali,CL,-34.1833,-70.6667,63.68,68,75,3.44,broken clouds
Tuatapere,NZ,-46.1333,167.6833,52.02,89,99,0.76,overcast clouds
Ilebo,CD,-4.3167,20.5833,82.2,64,76,2.57,broken clouds
Mutsu,JP,41.2894,141.2169,36.27,79,57,6.8,broken clouds
Tazovskiy,RU,67.4667,78.7,-1.01,98,61,9.1,broken clouds
Sitka,US,57.0531,-135.33,48.09,61,100,16.11,light rain
Bredasdorp,ZA,-34.5322,20.0403,71.35,60,0,13.38,clear sky
Aklavik,CA,68.2191,-135.0107,-27.99,99,100,5.88,overcast clouds
Rayong,TH,12.8333,101.4333,72.84,59,69,3.94,broken clouds
Hilo,US,19.7297,-155.09,75.27,80,0,5.75,clear sky
Mandera,KE,3.9366,41.867,92.79,25,64,8.03,broken clouds
Batagay-Alyta,RU,67.8006,130.4114,-18.44,88,82,2.51,broken clouds
Torbay,CA,47.6666,-52.7314,38.88,91,75,11.5,broken clouds
Atuona,PF,-9.8,-139.0333,77.67,79,78,14.56,broken clouds
Grand Forks,US,47.9417,-97.4337,-7.67,71,100,6.91,overcast clouds
Hermanus,ZA,-34.4187,19.2345,78.8,64,0,8.66,clear sky
Jamestown,US,42.097,-79.2353,16.02,76,100,13.8,overcast clouds
Kampong Thum,KH,12.7111,104.8887,67.48,71,91,3.85,overcast clouds
Haapiti,PF,-17.5667,-149.8667,74.93,78,10,7.29,light rain
Nago,JP,26.5881,127.9761,57.63,67,66,9.37,broken clouds
Butaritari,KI,3.0707,172.7902,80.62,82,55,15.75,light rain
Alofi,NU,-19.0595,-169.9187,73.29,94,83,2.3,light rain
Kismayo,SO,-0.3582,42.5454,79.0,79,92,16.06,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,75,0,8.05,clear sky
Zhigansk,RU,66.7697,123.3711,-18.87,97,100,20.51,overcast clouds
Aguimes,ES,27.9054,-15.4461,69.66,64,20,10.36,few clouds
Esperance,AU,-33.8667,121.9,63.48,87,31,7.56,scattered clouds
La Union,PE,-5.4,-80.75,82.72,48,45,4.81,scattered clouds
Vanimo,PG,-2.6741,141.3028,77.86,89,100,7.43,overcast clouds
Victoria,HK,22.2855,114.1577,62.26,69,1,5.01,clear sky
Wajir,KE,1.7471,40.0573,93.16,36,40,5.75,scattered clouds
Bluff,NZ,-46.6,168.3333,56.19,87,100,3.33,overcast clouds
Albany,US,42.6001,-73.9662,22.57,66,38,6.29,scattered clouds
Tukums,LV,56.9669,23.1553,22.35,92,100,14.85,light snow
Avarua,CK,-21.2078,-159.775,69.85,100,20,2.3,few clouds
Astoria,US,46.1879,-123.8313,53.49,94,100,19.57,light rain
Cochrane,CA,51.1834,-114.4687,32.4,80,75,6.91,broken clouds
Gannan,CN,47.9147,123.5031,2.43,98,100,2.24,overcast clouds
Lorengau,PG,-2.0226,147.2712,80.87,78,94,7.11,overcast clouds
Zelenoborskiy,RU,66.845,32.3622,20.26,87,100,9.84,overcast clouds
Muisne,EC,0.6,-80.0333,73.85,92,100,6.78,moderate rain
Avera,US,33.194,-82.5271,32.56,19,10,5.59,clear sky
College,US,64.8569,-147.8028,-0.42,74,40,5.75,light snow
Talgar,KZ,43.3027,77.2395,8.76,92,20,4.47,smoke
Namatanai,PG,-3.6667,152.4333,79.47,82,97,6.38,overcast clouds
Chuy,UY,-33.6971,-53.4616,73.22,43,1,12.37,clear sky
Mount Gambier,AU,-37.8333,140.7667,63.77,61,0,5.66,clear sky
Yellowknife,CA,62.456,-114.3525,-12.48,77,100,14.97,light snow
Pacific Grove,US,36.6177,-121.9166,55.09,85,0,5.01,clear sky
Payo,ID,-3.7508,103.6372,72.91,96,100,2.21,overcast clouds
Vaitape,PF,-16.5167,-151.75,80.4,73,9,11.79,clear sky
Sevsk,RU,52.1491,34.4926,28.11,97,94,7.05,overcast clouds
Constitucion,CL,-35.3333,-72.4167,65.17,70,79,9.69,broken clouds
Merauke,ID,-8.4667,140.3333,81.41,81,100,6.8,overcast clouds
Akyab,MM,20.15,92.9,72.27,69,0,8.88,clear sky
Bogoslovka,RU,53.2084,44.8013,30.11,94,100,7.36,overcast clouds
Port Alfred,ZA,-33.5906,26.891,72.18,70,88,5.99,overcast clouds
East London,ZA,-33.0153,27.9116,70.74,68,100,9.22,overcast clouds
Karratha,AU,-20.7377,116.8463,81.45,72,55,12.39,light rain
Chadiza,ZM,-14.0678,32.4392,70.56,84,84,5.08,moderate rain
Lebu,CL,-37.6167,-73.65,65.61,70,77,10.6,broken clouds
Da Nang,VN,16.0678,108.2208,66.18,94,75,0.0,broken clouds
Anadyr,RU,64.75,177.4833,14.5,79,0,6.71,clear sky
Mbaiki,CF,3.8678,17.9892,90.61,23,74,4.03,broken clouds
Marawi,PH,7.9986,124.2928,67.71,97,100,1.77,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,12.04,62,40,21.85,scattered clouds
Waddan,LY,29.1614,16.139,64.65,56,21,8.75,few clouds
Nikolskoye,RU,59.7035,30.7861,19.29,93,22,8.19,few clouds
Kotovo,RU,50.3211,44.8012,27.55,73,57,5.3,broken clouds
Labuhan,ID,-6.8844,112.2051,78.49,84,99,13.6,light rain
Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,62,7.0,broken clouds
Ikongo,MG,-21.8833,47.4333,72.34,97,58,3.09,light rain
Moree,AU,-29.4667,149.85,69.12,57,0,9.75,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,70.83,68,20,6.91,few clouds
Qaanaaq,GL,77.484,-69.3632,-12.01,91,100,0.81,overcast clouds
Birin,NP,26.8865,88.0718,45.82,63,88,5.39,overcast clouds
Suba,PH,10.8438,121.0102,79.36,78,100,30.87,overcast clouds
Fortuna,US,40.5982,-124.1573,59.94,95,100,11.5,light rain
Castro,BR,-24.7911,-50.0119,75.33,66,68,5.19,broken clouds
Saldanha,ZA,-33.0117,17.9442,77.05,71,0,13.24,clear sky
Amahai,ID,-3.3333,128.9167,77.05,90,100,5.3,moderate rain
Kudahuvadhoo,MV,2.6708,72.8944,81.82,73,90,15.21,overcast clouds
Columbia,US,34.0007,-81.0348,34.5,57,0,3.44,clear sky
Nusaybin,TR,37.0778,41.2178,49.59,71,75,6.91,broken clouds
Mehamn,NO,71.0357,27.8492,22.91,79,20,11.5,few clouds
Ozinki,RU,51.1786,49.6769,23.31,75,87,6.82,overcast clouds
Richards Bay,ZA,-28.783,32.0377,68.88,93,100,7.16,moderate rain
Chama,CH,47.1821,8.4636,49.6,94,100,2.3,moderate rain
Agadir,MA,30.4202,-9.5982,79.25,25,0,15.7,clear sky
Khatanga,RU,71.9667,102.5,-38.99,100,39,2.82,scattered clouds
Luba,GQ,3.4568,8.5547,87.69,75,84,5.99,broken clouds
Port Elizabeth,ZA,-33.918,25.5701,77.09,67,0,25.32,clear sky
Augusto Correa,BR,-1.0217,-46.635,88.61,53,73,9.75,broken clouds
Port Blair,IN,11.6667,92.75,80.64,69,40,5.75,haze
Sterling,US,39.0062,-77.4286,28.71,53,40,3.44,scattered clouds
Asfi,MA,32.2994,-9.2372,71.01,47,1,6.87,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,84.06,23,0,28.77,clear sky
Pafos,CY,34.7667,32.4167,58.78,44,20,4.61,few clouds
Mvangue,CM,2.9667,11.5167,81.3,40,100,2.01,overcast clouds
Haines Junction,CA,60.7522,-137.5108,-2.25,84,100,1.14,overcast clouds
Alvdal,NO,62.1077,10.6307,32.59,98,100,11.03,snow
San Quintin,MX,30.4833,-115.95,65.79,39,0,3.22,clear sky
Vestmannaeyjar,IS,63.4427,-20.2734,29.39,46,0,4.61,clear sky
Rosetta,EG,31.4044,30.4164,63.19,60,36,16.28,scattered clouds
Kaitangata,NZ,-46.2817,169.8464,55.0,82,100,1.95,overcast clouds
Baie-Comeau,CA,49.2168,-68.1489,13.68,67,0,18.41,clear sky
Yeppoon,AU,-23.1333,150.7333,71.38,76,52,18.16,broken clouds
Bonthe,SL,7.5264,-12.505,84.29,59,63,11.01,broken clouds
Pisco,PE,-13.7,-76.2167,71.02,88,40,9.22,scattered clouds
Hobart,AU,-42.8794,147.3294,60.06,95,40,4.61,scattered clouds
Bethel,US,41.3712,-73.414,25.16,61,0,5.75,clear sky
Pachmarhi,IN,22.4667,78.4333,57.94,68,12,1.95,few clouds
Bud,US,39.447,-86.1758,19.89,88,100,9.31,overcast clouds
Posse,BR,-14.0931,-46.3694,72.25,80,100,6.11,light rain
Camacha,PT,33.0833,-16.3333,60.22,72,20,11.5,light rain
Cockburn Town,TC,21.4612,-71.1419,79.12,73,69,15.57,broken clouds
Bonavista,CA,48.6499,-53.1147,33.89,67,42,15.08,scattered clouds
Horasan,TR,40.0458,42.1728,28.74,64,72,2.13,broken clouds
Trelew,AR,-43.249,-65.3051,93.4,17,20,19.13,few clouds
Xai-Xai,MZ,-25.0519,33.6442,78.58,73,71,10.42,broken clouds
Te Anau,NZ,-45.4167,167.7167,51.28,75,97,2.51,overcast clouds
Abu Samrah,SY,35.3029,37.1841,43.77,90,100,21.54,overcast clouds
Bilibino,RU,68.0546,166.4372,-11.13,82,13,1.39,few clouds
Ivybridge,GB,50.3904,-3.9191,47.86,79,40,15.03,scattered clouds
Pevek,RU,69.7008,170.3133,-16.67,100,42,2.21,scattered clouds
Leshukonskoye,RU,64.8989,45.7622,9.3,96,82,6.96,broken clouds
Dunedin,NZ,-45.8742,170.5036,59.81,88,100,3.8,overcast clouds
Klaksvik,FO,62.2266,-6.589,32.92,94,100,55.63,light snow
Saint-Augustin,CA,51.226,-58.6502,22.33,78,8,11.74,clear sky
Mecca,SA,21.4267,39.8261,69.12,48,6,12.57,clear sky
Urubicha,BO,-15.3833,-62.95,90.12,45,87,3.76,overcast clouds
Jalu,LY,29.0331,21.5482,63.23,49,0,8.41,clear sky
Lashio,MM,22.9333,97.75,53.78,78,6,1.74,clear sky
Pala,TD,9.3642,14.9046,86.18,17,8,8.34,clear sky
Isangel,VU,-19.55,169.2667,75.31,94,20,0.0,few clouds
Thai Nguyen,VN,21.5928,105.8442,64.18,81,100,0.81,overcast clouds
Hasaki,JP,35.7333,140.8333,37.8,50,0,14.27,clear sky
Port Moresby,PG,-9.4431,147.1797,76.42,94,40,5.75,scattered clouds
Maceio,BR,-9.6658,-35.7353,83.64,74,75,12.66,broken clouds
Cidreira,BR,-30.1811,-50.2056,72.19,77,92,12.68,overcast clouds
Roald,NO,62.5833,6.1333,42.33,65,100,12.66,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,10.56,60,45,5.14,scattered clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,79,0,2.24,clear sky
Pitimbu,BR,-7.4706,-34.8086,88.39,64,85,10.74,overcast clouds
Caravelas,BR,-17.7125,-39.2481,81.03,66,99,6.82,overcast clouds
Orlik,RU,52.5178,99.825,-20.09,96,20,2.33,few clouds
Ponta Do Sol,PT,32.6667,-17.1,64.0,72,98,8.57,light rain
Kaeo,NZ,-35.1,173.7833,63.32,96,19,3.58,few clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,59,6,11.39,clear sky
Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,11.5,scattered clouds
Pecos,US,31.4229,-103.4932,47.25,49,0,16.11,clear sky
Sakaiminato,JP,35.55,133.2333,39.18,93,75,5.75,broken clouds
Nouadhibou,MR,20.931,-17.0347,75.18,57,0,5.75,clear sky
Kyshtovka,RU,56.555,76.6271,9.27,92,63,7.65,broken clouds
Prince Rupert,CA,54.3161,-130.3201,46.09,80,100,18.41,light rain
Nueva Gerona,CU,21.8833,-82.8,67.77,79,100,20.45,overcast clouds
Tiarei,PF,-17.5333,-149.3333,75.22,78,33,9.62,scattered clouds
Hithadhoo,MV,-0.6,73.0833,81.91,78,100,17.36,overcast clouds
Naze,JP,28.3667,129.4833,56.32,70,47,10.29,scattered clouds
Saskylakh,RU,71.9167,114.0833,-34.8,100,36,3.44,scattered clouds
Kruisfontein,ZA,-34.0033,24.7314,74.88,61,0,19.8,clear sky
Ellisras,ZA,-23.6649,27.7443,91.13,28,47,10.83,scattered clouds
Alyangula,AU,-13.8483,136.4192,83.05,76,100,13.65,overcast clouds
Eyl,SO,7.9803,49.8164,76.55,70,1,15.26,clear sky
Severo-Kurilsk,RU,50.6789,156.125,30.38,73,34,10.42,scattered clouds
Bilma,NE,18.6853,12.9164,71.96,23,1,4.94,clear sky
Palmer,US,42.1584,-72.3287,26.51,60,0,3.44,clear sky
Verkhnyaya Sinyachikha,RU,57.976,61.6673,10.53,93,72,6.6,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,40,17.27,scattered clouds
Dwarka,IN,22.2394,68.9678,72.01,41,0,11.77,clear sky
Nioki,CD,-2.7167,17.6833,82.78,65,100,1.7,overcast clouds
Talnakh,RU,69.4865,88.3972,11.21,95,100,11.86,light snow
Evensk,RU,61.95,159.2333,17.1,57,91,10.63,overcast clouds
Maxixe,MZ,-23.8597,35.3472,78.13,65,30,10.0,scattered clouds
Shieli,KZ,44.1667,66.75,30.06,72,98,6.26,overcast clouds
Beringovskiy,RU,63.05,179.3167,13.8,87,100,21.09,overcast clouds
Prainha,BR,-1.8,-53.48,89.4,48,82,5.59,broken clouds
Saint-Andre-Avellin,CA,45.7168,-75.066,15.6,78,14,9.6,few clouds
Lannion,FR,48.75,-3.4167,50.54,78,40,10.36,scattered clouds
Airai,TL,-8.9266,125.4092,60.64,95,100,0.76,overcast clouds
Hastings,GB,50.8552,0.5729,46.53,69,34,17.98,scattered clouds
Necochea,AR,-38.5473,-58.7368,72.18,40,11,5.97,few clouds
Lompoc,US,34.6391,-120.4579,55.58,87,0,0.0,clear sky
Nishihara,JP,26.1842,127.7558,61.88,60,20,11.5,few clouds
Kushiro,JP,42.975,144.3747,33.37,78,62,11.52,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,65.75,38,0,2.77,clear sky
Belmonte,BR,-15.8631,-38.8828,80.8,71,99,10.09,overcast clouds
Codrington,AU,-38.2667,141.9667,62.91,70,0,8.46,clear sky
Khurda,IN,20.1833,85.6167,71.51,85,29,5.75,scattered clouds
Tabuk,PH,17.4189,121.4443,64.42,85,100,4.0,overcast clouds
Ulaangom,MN,49.9811,92.0667,-14.69,96,99,2.21,overcast clouds
Bathsheba,BB,13.2167,-59.5167,84.81,61,40,24.16,light rain
Okhotsk,RU,59.3833,143.3,-3.75,78,16,17.13,few clouds
Iquique,CL,-20.2208,-70.1431,75.24,65,3,8.9,clear sky
Berlevag,NO,70.8578,29.0864,24.6,80,100,8.05,overcast clouds
Alta Floresta,BR,-9.8756,-56.0861,80.87,72,100,5.88,overcast clouds
Kutum,SD,14.2,24.6667,63.01,20,0,10.76,clear sky
Iqaluit,CA,63.7506,-68.5145,20.93,62,100,10.0,overcast clouds
Pandan,PH,14.0453,124.1694,75.94,73,100,17.65,overcast clouds
Saint George,US,37.1041,-113.5841,36.19,75,0,0.0,clear sky
Husavik,IS,66.0449,-17.3389,20.35,73,100,10.96,overcast clouds
Praya,CV,14.9215,-23.5087,79.34,50,40,23.02,scattered clouds
Sao Filipe,CV,14.8961,-24.4956,71.6,71,48,13.89,scattered clouds
Salalah,OM,17.0151,54.0924,77.09,69,20,5.75,few clouds
Yaan,NG,7.3833,8.5667,93.49,16,29,7.81,scattered clouds
Santa Ines,BR,-3.6667,-45.38,86.5,57,96,5.73,overcast clouds
Ancud,CL,-41.8697,-73.8203,63.99,67,5,7.54,clear sky
Reconquista,AR,-29.15,-59.65,84.49,18,87,3.47,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,80.28,74,0,16.11,clear sky
Wajima,JP,37.4,136.9,41.77,69,100,8.28,light rain
Antofagasta,CL,-23.65,-70.4,70.88,61,0,9.31,clear sky
Meulaboh,ID,4.1363,96.1285,77.85,85,95,1.03,overcast clouds
Ballachulish,GB,56.6774,-5.1308,37.42,93,100,3.0,overcast clouds
Panaba,MX,21.2833,-88.2667,66.18,88,100,3.42,overcast clouds
Tricase,IT,39.9304,18.3553,58.93,88,75,6.15,broken clouds
Turayf,SA,31.6725,38.6637,46.65,87,75,11.5,broken clouds
Kisarawe,TZ,-6.9,39.0667,80.4,78,40,12.66,scattered clouds
Dingle,PH,10.9995,122.6711,73.67,84,100,10.09,overcast clouds
Palmas De Monte Alto,BR,-14.2672,-43.1619,81.0,58,100,6.51,overcast clouds
San Juan Bautista,PE,-14.0108,-75.7358,79.34,53,100,7.56,overcast clouds
Bemidji,US,47.4736,-94.8803,-0.09,80,100,3.44,overcast clouds
Broome,US,42.2506,-75.833,19.45,74,0,10.36,clear sky
Svetlyy,RU,54.675,20.1347,37.45,92,100,17.16,overcast clouds
Nantucket,US,41.2835,-70.0995,30.31,62,0,9.22,clear sky
Axim,GH,4.8699,-2.2405,83.26,51,66,8.08,broken clouds
Port Hedland,AU,-20.3167,118.5667,80.65,89,100,8.05,overcast clouds
Malanje,AO,-9.5402,16.341,69.33,91,75,6.91,light rain
Olinda,BR,-8.0089,-34.8553,85.73,54,40,11.5,scattered clouds
Riverton,US,40.5219,-111.9391,42.39,81,99,13.0,overcast clouds
Hami,CN,42.8,93.45,19.94,46,5,3.85,clear sky
Pangnirtung,CA,66.1451,-65.7125,15.8,45,75,9.22,broken clouds
Coihaique,CL,-45.5752,-72.0662,66.81,52,75,4.61,broken clouds
Sebinkarahisar,TR,40.2883,38.4236,31.77,96,100,0.67,light snow
Pokosnoye,RU,55.5258,101.0536,-12.3,96,13,2.86,few clouds
Tulun,RU,54.5611,100.5792,-12.59,99,30,3.71,scattered clouds
Narsaq,GL,60.9167,-46.05,32.22,68,100,12.57,overcast clouds
Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,23.02,light rain
Lokomotivnyy,RU,53.0118,60.5684,12.45,82,100,4.41,overcast clouds
Port Macquarie,AU,-31.4333,152.9167,63.9,91,8,3.71,clear sky
Along,IN,28.1667,94.7667,53.96,97,100,2.64,overcast clouds
Whitehorse,CA,60.7161,-135.0538,5.77,77,75,18.41,broken clouds
Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,5.75,scattered clouds
Uige,AO,-7.6087,15.0613,74.41,74,89,1.88,overcast clouds
Pimenteiras,BR,-6.2453,-41.4192,93.54,33,87,7.56,overcast clouds
Mugur-Aksy,RU,50.35,90.5,0.03,81,36,5.64,scattered clouds
Rawson,AR,-43.3002,-65.1023,88.34,24,11,17.76,few clouds
Apac,UG,1.9756,32.5386,76.41,56,100,4.21,overcast clouds
Turbat,PK,26.0023,63.044,68.4,68,12,7.81,few clouds
Katangli,RU,51.7102,143.2326,10.33,94,100,13.15,light snow
Imbituba,BR,-28.24,-48.6703,79.86,77,48,11.79,scattered clouds
Wageningen,NL,51.9667,5.6667,43.03,81,100,6.91,overcast clouds
Upernavik,GL,72.7868,-56.1549,-11.18,81,33,10.92,scattered clouds
Kashi,CN,39.4547,75.9797,20.41,58,0,4.47,clear sky
Kozlovka,RU,55.8428,48.2492,-1.7,100,85,0.18,overcast clouds
Chumikan,RU,54.7183,135.315,-3.19,83,68,12.46,broken clouds
Hyeres,FR,43.1167,6.1167,60.66,86,0,4.61,clear sky
Morgantown,US,39.6295,-79.9559,21.38,62,100,8.05,overcast clouds
Ahuimanu,US,21.4447,-157.8378,72.18,92,20,4.61,few clouds
Santarem,BR,-2.4431,-54.7083,86.13,74,75,11.5,broken clouds
Morro Bay,US,35.3658,-120.8499,56.34,1,87,1.01,overcast clouds
Dikson,RU,73.5069,80.5464,-16.33,93,24,8.79,few clouds
Tuntum,BR,-5.2581,-44.6489,86.47,62,83,3.09,broken clouds
Olafsvik,IS,64.8945,-23.7142,26.04,61,99,15.01,overcast clouds
Hamilton,US,39.1834,-84.5333,18.99,81,100,9.22,mist
Faya,SA,18.3851,42.4509,55.92,80,90,7.38,overcast clouds
Pathein,MM,16.7833,94.7333,71.2,88,3,4.59,clear sky
Carnarvon,AU,-24.8667,113.6333,74.88,67,79,28.7,broken clouds
Lagoa,PT,39.05,-27.9833,55.63,55,47,7.11,scattered clouds
Minsk,BY,53.9,27.5667,20.95,96,100,14.65,snow
Baruun-Urt,MN,46.6806,113.2792,3.33,95,100,8.57,light snow
Cap Malheureux,MU,-19.9842,57.6142,79.47,69,9,5.99,clear sky
Bereda,ES,43.2686,-7.5406,56.41,91,83,1.48,broken clouds
Agua Dulce,MX,18.1333,-94.1333,60.58,89,100,5.46,light rain
Fredericton,CA,45.9454,-66.6656,30.83,61,0,10.36,clear sky
Vredendal,ZA,-31.6683,18.5012,76.46,35,0,18.59,clear sky
Springbok,ZA,-29.6643,17.8865,76.35,27,0,16.87,clear sky
Touros,BR,-5.1989,-35.4608,86.18,53,23,15.75,few clouds
Altus,US,34.6381,-99.334,45.16,68,75,8.05,broken clouds
Mao,ES,39.8885,4.2658,68.56,52,0,3.44,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,70.52,76,0,11.5,clear sky
Yumen,CN,40.2833,97.2,16.5,51,100,0.96,overcast clouds
Osorno,CL,-40.5667,-73.15,72.25,60,20,5.75,few clouds
Bom Jesus,BR,-9.0744,-44.3586,87.01,49,89,7.23,overcast clouds
Natchez,US,31.5604,-91.4032,37.62,56,0,8.05,clear sky
Moerai,PF,-22.4333,-151.3333,74.93,74,85,4.47,overcast clouds
Sobolevo,RU,54.4299,31.8996,11.75,97,57,10.13,broken clouds
Viking,CA,53.1001,-111.7684,14.13,97,89,9.19,overcast clouds
Uinskoye,RU,56.8817,56.5813,-3.44,100,88,1.9,overcast clouds
Paracuru,BR,-3.41,-39.0306,82.11,54,55,15.73,broken clouds
Aswan,EG,24.0934,32.907,70.9,35,0,11.5,clear sky
Burnie,AU,-41.0667,145.9167,59.94,85,38,6.13,scattered clouds
Bengkulu,ID,-3.8004,102.2655,75.88,85,100,3.58,overcast clouds
Medicine Hat,CA,50.0501,-110.6683,42.22,72,100,20.71,overcast clouds
Sanguem,IN,15.2333,74.1667,80.08,71,65,1.1,broken clouds
Luderitz,NA,-26.6481,15.1594,69.4,63,1,20.18,clear sky
Asau,RO,46.4333,26.4,33.28,82,100,6.2,overcast clouds
Amapa,BR,1.0,-52.0,82.67,72,76,4.79,broken clouds
Darhan,MN,49.4867,105.9228,-10.3,98,62,5.23,broken clouds
Leningradskiy,RU,69.3833,178.4167,-10.28,91,18,3.78,few clouds
Gamba,GA,-2.65,10.0,81.45,74,69,7.11,light rain
Opuwo,NA,-18.0607,13.84,91.22,10,9,17.13,clear sky
Bafia,CM,4.75,11.2333,88.88,27,98,3.71,overcast clouds
Senanga,ZM,-16.1167,23.2667,82.65,47,79,3.91,broken clouds
Maracaibo,VE,10.6317,-71.6406,83.14,58,88,3.22,overcast clouds
Banyuwangi,ID,-8.2325,114.3576,75.16,89,98,1.68,overcast clouds
Padang,ID,-0.9492,100.3543,77.05,83,75,4.05,broken clouds
